	Thermal filter C8 P13678/C8 P13661 1.5M 100nm Cu                                								
134.324538	0.854794118								
134.576554	0.852372549								
134.82857	0.850882353								
135.080586	0.849343137								
135.332602	0.848147059								
135.584618	0.84754902								
135.836634	0.845647059								
136.08865	0.844333333								
136.340666	0.843215686								
136.592682	0.843088235								
136.844698	0.842558824								
137.096714	0.840647059								
137.34873	0.839764706								
137.600746	0.839392157								
137.852762	0.839137255								
138.104778	0.840029412								
138.356794	0.841617647								
138.60881	0.83995098								
138.860826	0.832558824								
139.112842	0.831911765								
139.364858	0.838147059								
139.616874	0.836970588								
139.86889	0.833264706								
140.120906	0.836705882								
140.372922	0.838127451								
140.624938	0.835970588								
140.876954	0.838078431								
141.12897	0.840931373								
141.380986	0.841480392								
141.633002	0.843990196								
141.885018	0.845460784								
142.137034	0.846156863								
142.38905	0.847558824								
142.641066	0.846990196								
142.893082	0.845284314								
143.145098	0.845656863								
143.397114	0.845823529								
143.64913	0.844872549								
143.901146	0.844931373								
144.153162	0.844656863								
144.405178	0.844480392								
144.657194	0.844764706								
144.90921	0.84422549								
145.161226	0.843392157								
145.413242	0.842598039								
145.665258	0.842117647								
145.917274	0.840607843								
146.16929	0.838794118								
146.421306	0.83904902								
146.673322	0.838911765								
146.925338	0.838078431								
147.177354	0.838039216								
147.42937	0.838480392								
147.681386	0.838705882								
147.933402	0.838666667								
148.185418	0.839254902								
148.437434	0.840294118								
148.68945	0.840323529								
148.941466	0.83472549								
149.193482	0.833745098								
149.445498	0.839127451								
149.697514	0.840117647								
149.94953	0.839156863								
150.201546	0.833754902								
150.453562	0.817539216								
150.705578	0.825647059								
150.957594	0.834137255								
151.20961	0.832215686								
151.461626	0.832166667								
151.713642	0.835470588								
151.965658	0.835823529								
152.217674	0.83545098								
152.46969	0.834343137								
152.721706	0.835598039								
152.973722	0.836176471								
153.225738	0.830784314								
153.477754	0.820009804								
153.72977	0.826480392								
153.981786	0.831068627								
154.233802	0.831323529								
154.485818	0.830539216								
154.737834	0.830627451								
154.98985	0.830715686								
155.241866	0.830323529								
155.493882	0.829666667								
155.745898	0.830352941								
155.997914	0.830676471								
156.24993	0.829470588								
156.501946	0.828039216								
156.753962	0.826784314								
157.005978	0.825637255								
157.257994	0.823911765								
157.51001	0.820754902								
157.762026	0.812715686								
158.014042	0.814519608								
158.266058	0.821411765								
158.518074	0.824176471								
158.77009	0.824960784								
159.022106	0.824411765								
159.274122	0.825509804								
159.526138	0.827529412								
159.778154	0.827137255								
160.03017	0.826617647								
160.282186	0.826872549								
160.534202	0.825264706								
160.786218	0.823598039								
161.038234	0.824245098								
161.29025	0.823588235								
161.542266	0.822970588								
161.794282	0.824068627								
162.046298	0.824029412								
162.298314	0.8225								
162.55033	0.821813725								
162.802346	0.821431373								
163.054362	0.820647059								
163.306378	0.819598039								
163.558394	0.8185								
163.81041	0.816441176								
164.062426	0.813284314								
164.314442	0.813372549								
164.566458	0.813529412								
164.818474	0.812333333								
165.07049	0.811686275								
165.322506	0.811039216								
165.574522	0.810627451								
165.826538	0.809980392								
166.078554	0.80827451								
166.33057	0.80677451								
166.582586	0.804313725								
166.834602	0.804058824								
167.086618	0.807294118								
167.338634	0.807705882								
167.59065	0.807539216								
167.842666	0.80877451								
168.094682	0.809088235								
168.346698	0.809147059								
168.598714	0.809578431								
168.85073	0.809588235								
169.102746	0.809715686								
169.354762	0.809264706								
169.606778	0.807872549								
169.858794	0.804656863								
170.11081	0.796186275								
170.362826	0.778235294								
170.614842	0.79104902								
170.866858	0.799872549								
171.118874	0.804539216								
171.37089	0.805617647								
171.622906	0.804392157								
171.874922	0.803980392								
172.126938	0.803843137								
172.378954	0.803147059								
172.63097	0.802137255								
172.882986	0.801029412								
173.135002	0.796362745								
173.387018	0.7905								
173.639034	0.797617647								
173.89105	0.7995								
174.143066	0.799343137								
174.395082	0.799029412								
174.647098	0.796941176								
174.899114	0.796245098								
175.15113	0.795411765								
175.403146	0.795460784								
175.655162	0.794215686								
175.907178	0.787323529								
176.159194	0.786637255								
176.41121	0.791813725								
176.663226	0.793009804								
176.915242	0.792088235								
177.167258	0.790872549								
177.419274	0.78654902								
177.67129	0.786892157								
177.923306	0.793382353								
178.175322	0.795980392								
178.427338	0.795598039								
178.679354	0.795127451								
178.93137	0.794813725								
179.183386	0.795401961								
179.435402	0.797411765								
179.687418	0.797745098								
179.939434	0.797460784								
180.19145	0.796862745								
180.443466	0.795137255								
180.695482	0.792764706								
180.947498	0.791107843								
181.199514	0.785980392								
181.45153	0.779852941								
181.703546	0.786588235								
181.955562	0.789421569								
182.207578	0.79								
182.459594	0.789735294								
182.71161	0.788333333								
182.963626	0.787794118								
183.215642	0.785931373								
183.467658	0.783803922								
183.719674	0.784009804								
183.97169	0.784421569								
184.223706	0.783117647								
184.475722	0.781127451								
184.727738	0.780343137								
184.979754	0.780480392								
185.23177	0.780029412								
