# xout	st_am	st_am2	st_am3	st_am4	st_am5	st_am6	st_am7	st_am8	st_am9	st_atm	st_atm2
      9.4922075      1.0036125      0.2215883      0.0650925      0.0380506      0.0278809      0.0251940      0.0256471      0.0275108      0.7246315      0.0697186      1.7179049
      9.5754642      1.0139303      0.2258456      0.0719423      0.0454182      0.0342304      0.0300670      0.0291321      0.0339278      0.7324927      0.0745769      1.7219211
      9.6587219      1.0242482      0.2301030      0.0787922      0.0527858      0.0405801      0.0349401      0.0326172      0.0403449      0.7403539      0.0794352      1.7259374
      9.7419786      1.0345660      0.2343603      0.0856420      0.0601534      0.0469296      0.0398132      0.0361023      0.0467619      0.7482151      0.0842935      1.7299535
      9.8252354      1.0448838      0.2386177      0.0924918      0.0675209      0.0532792      0.0446862      0.0395873      0.0531789      0.7560762      0.0891518      1.7339697
      9.9084921      1.0552016      0.2428750      0.0993416      0.0748885      0.0596287      0.0495593      0.0430724      0.0595959      0.7639374      0.0940100      1.7379860
      9.9917498      1.0655196      0.2471324      0.1061915      0.0822561      0.0659784      0.0544324      0.0465575      0.0660130      0.7717986      0.0988684      1.7420021
     10.0750065      1.0784149      0.2527754      0.1153362      0.0922983      0.0750384      0.0615340      0.0517540      0.0751418      0.7815953      0.1037266      1.7460184
     10.1582632      1.0951282      0.2586826      0.1237440      0.1013773      0.0830695      0.0678863      0.0565143      0.0835528      0.7940030      0.1209200      1.7523139
     10.2415209      1.1123619      0.2624224      0.1264961      0.1039745      0.0851671      0.0695138      0.0577735      0.0858745      0.8062793      0.1566529      1.7620349
     10.3247776      1.1284778      0.2640143      0.1239402      0.1008148      0.0824176      0.0675658      0.0565070      0.0831889      0.8172275      0.1655169      1.7679812
     10.4080343      1.1429209      0.2630761      0.1159573      0.0915862      0.0741358      0.0612002      0.0519612      0.0747688      0.8264961      0.1559889      1.7722164
     10.4912901      1.1583428      0.2632938      0.1105082      0.0857083      0.0695149      0.0580869      0.0498735      0.0697736      0.8365605      0.1231319      1.7745010
     10.5745478      1.1753685      0.2655645      0.1095217      0.0847779      0.0692186      0.0583130      0.0502866      0.0693184      0.8481286      0.1122529      1.7796900
     10.6578045      1.1929587      0.2684712      0.1100611      0.0851044      0.0695349      0.0586668      0.0506569      0.0695907      0.8603413      0.1065661      1.7854426
     10.7410612      1.2109804      0.2718203      0.1116055      0.0860496      0.0699086      0.0587248      0.0506622      0.0699461      0.8730925      0.1049152      1.7915403
     10.8243189      1.2297031      0.2759854      0.1151360      0.0887934      0.0713142      0.0591018      0.0506804      0.0713153      0.8866373      0.1040415      1.7980751
     10.9075756      1.2505163      0.2828177      0.1246165      0.0988379      0.0800378      0.0656017      0.0552798      0.0799896      0.9021187      0.1046984      1.8053555
     10.9908323      1.2716478      0.2898750      0.1346361      0.1097828      0.0897603      0.0731622      0.0607446      0.0897579      0.9178040      0.1075914      1.8137146
     11.0740891      1.2908589      0.2940746      0.1382955      0.1134708      0.0927818      0.0754255      0.0623729      0.0928092      0.9314457      0.1119950      1.8223670
     11.1573467      1.3085766      0.2959503      0.1362486      0.1109231      0.0905951      0.0739241      0.0614316      0.0906543      0.9433360      0.1142366      1.8295367
     11.2406034      1.3243521      0.2949400      0.1277597      0.1010052      0.0815807      0.0669854      0.0565344      0.0816498      0.9531647      0.1127812      1.8343157
     11.3238602      1.3404701      0.2941820      0.1197347      0.0917858      0.0733891      0.0607325      0.0521726      0.0734291      0.9631896      0.1095356      1.8380044
     11.4071178      1.3585285      0.2958720      0.1170414      0.0889110      0.0712619      0.0593974      0.0514371      0.0712957      0.9750364      0.1075409      1.8423779
     11.4903746      1.3772670      0.2983299      0.1163224      0.0881306      0.0707604      0.0591705      0.0514233      0.0707964      0.9876089      0.1079009      1.8480628
     11.5736313      1.3963723      0.3011097      0.1163929      0.0880801      0.0707829      0.0592875      0.0516212      0.0708213      1.0005791      0.1085716      1.8542393
     11.6568880      1.4157462      0.3040670      0.1168385      0.0883524      0.0710332      0.0595529      0.0519078      0.0710751      1.0138240      0.1093235      1.8605849
     11.7401457      1.4353483      0.3071374      0.1174861      0.0887930      0.0714036      0.0598976      0.0522426      0.0714558      1.0272834      0.1101408      1.8670990
     11.8234024      1.4551582      0.3102895      0.1182644      0.0893603      0.0719126      0.0604234      0.0527861      0.0721025      1.0409247      0.1110029      1.8737745
     11.9066582      1.4751655      0.3135034      0.1191272      0.0900144      0.0725280      0.0611115      0.0535321      0.0729753      1.0547289      0.1118742      1.8805197
     11.9899158      1.4953545      0.3167596      0.1200217      0.0906626      0.0730671      0.0616105      0.0540079      0.0735885      1.0686848      0.1127504      1.8873435
     12.0731726      1.5157253      0.3200514      0.1209396      0.0913134      0.0735762      0.0620320      0.0543757      0.0740796      1.0827844      0.1136219      1.8942140
     12.1564293      1.5362732      0.3233728      0.1218664      0.0919437      0.0740092      0.0622881      0.0545154      0.0743336      1.0970242      0.1145044      1.9011376
     12.2396860      1.5569983      0.3267231      0.1228074      0.0925739      0.0744168      0.0624751      0.0545538      0.0744958      1.1114004      0.1154063      1.9081378
     12.3229437      1.5779070      0.3301075      0.1237862      0.0932700      0.0749552      0.0629094      0.0549226      0.0749974      1.1259124      0.1162944      1.9152899
     12.4062004      1.5989978      0.3335232      0.1247989      0.0940224      0.0755910      0.0634908      0.0554432      0.0756262      1.1405600      0.1171862      1.9225019
     12.4894571      1.6202694      0.3369681      0.1258376      0.0948200      0.0763093      0.0642077      0.0561053      0.0763425      1.1553425      0.1180874      1.9297786
     12.5727148      1.6417153      0.3404307      0.1268627      0.0955707      0.0769222      0.0647463      0.0565799      0.0769548      1.1702572      0.1190482      1.9371426
     12.6559715      1.6633368      0.3439116      0.1278788      0.0962935      0.0774814      0.0652035      0.0569754      0.0775139      1.1853054      0.1200244      1.9445575
     12.7392282      1.6851336      0.3474088      0.1288794      0.0969719      0.0779482      0.0655126      0.0572194      0.0779819      1.2004875      0.1210122      1.9520373
     12.8224850      1.7071080      0.3509258      0.1298769      0.0976323      0.0783720      0.0657441      0.0573800      0.0784060      1.2158037      0.1220226      1.9596099
     12.9057426      1.7292684      0.3544713      0.1309056      0.0983575      0.0789255      0.0661891      0.0577644      0.0789597      1.2312590      0.1230532      1.9672357
     12.9889994      1.7516133      0.3580405      0.1319473      0.0991002      0.0795030      0.0666641      0.0581748      0.0795375      1.2468519      0.1241125      1.9749285
     13.0722561      1.7741402      0.3616322      0.1329964      0.0998490      0.0800855      0.0671430      0.0585877      0.0801203      1.2625842      0.1252554      1.9827139
     13.1555138      1.7968527      0.3652459      0.1340518      0.1006023      0.0806715      0.0676249      0.0590032      0.0807066      1.2784559      0.1265095      1.9905514
     13.2387705      1.8197496      0.3688814      0.1351129      0.1013595      0.0812601      0.0681083      0.0594191      0.0812957      1.2944697      0.1279339      1.9984541
     13.3220263      1.8428311      0.3725397      0.1361799      0.1021207      0.0818511      0.0685933      0.0598358      0.0818873      1.3106259      0.1303945      2.0064578
     13.4052830      1.8661021      0.3762203      0.1372531      0.1028860      0.0824450      0.0690799      0.0602531      0.0824817      1.3269271      0.1381366      2.0145218
     13.4885406      1.8895628      0.3799245      0.1383329      0.1036557      0.0830420      0.0695684      0.0606712      0.0830792      1.3433746      0.1548347      2.0226641
     13.5717974      1.9132153      0.3836526      0.1394203      0.1044310      0.0836432      0.0700601      0.0610920      0.0836808      1.3599710      0.1594156      2.0309043
     13.6550541      1.9370598      0.3874054      0.1405166      0.1052129      0.0842493      0.0705554      0.0615154      0.0842875      1.3767178      0.1559054      2.0392044
     13.7383118      1.9610984      0.3911853      0.1416245      0.1060054      0.0848666      0.0710637      0.0619517      0.0849053      1.3936188      0.1414955      2.0475836
     13.8215685      1.9853356      0.3949933      0.1427460      0.1068093      0.0854940      0.0715808      0.0623952      0.0855331      1.4106767      0.1376286      2.0561144
     13.9048252      2.0097730      0.3988324      0.1438853      0.1076306      0.0861405      0.0721199      0.0628600      0.0861802      1.4278938      0.1363859      2.0647223
     13.9880819      2.0344126      0.4027050      0.1450435      0.1084652      0.0867955      0.0726627      0.0633252      0.0868357      1.4452758      0.1367595      2.0734243
     14.0713396      2.0592604      0.4066154      0.1462232      0.1093086      0.0874433      0.0731821      0.0637579      0.0874841      1.4628276      0.1374959      2.0822177
     14.1545963      2.0843222      0.4105715      0.1474400      0.1101781      0.0881066      0.0737079      0.0641904      0.0881480      1.4805558      0.1383432      2.0910854
     14.2378531      2.1096070      0.4145871      0.1487169      0.1110923      0.0887972      0.0742449      0.0646222      0.0888388      1.4984744      0.1392820      2.1000607
     14.3211107      2.1351366      0.4186856      0.1501018      0.1120965      0.0895579      0.0748346      0.0650894      0.0895997      1.5166000      0.1402905      2.1092122
     14.4043674      2.1609378      0.4229088      0.1516882      0.1132756      0.0904591      0.0755335      0.0656339      0.0905000      1.5349655      0.1413384      2.1184828
     14.4876242      2.1870735      0.4273447      0.1536942      0.1148274      0.0916429      0.0764287      0.0662974      0.0916809      1.5536292      0.1424367      2.1279175
     14.5708809      2.2137198      0.4322323      0.1567830      0.1174614      0.0936842      0.0779262      0.0673395      0.0937093      1.5727254      0.1436680      2.1376810
     14.6541386      2.2417574      0.4387183      0.1637593      0.1247818      0.1002186      0.0831283      0.0711540      0.1001752      1.5928380      0.1452296      2.1478086
     14.7373953      2.2719107      0.4476880      0.1762907      0.1390989      0.1137077      0.0942679      0.0794271      0.1136764      1.6144940      0.1473613      2.1585054
     14.8206511      2.3006358      0.4545422      0.1840810      0.1476314      0.1212965      0.1002781      0.0837485      0.1213223      1.6351534      0.1639903      2.1731050
     14.9039087      2.3274653      0.4586233      0.1852607      0.1484538      0.1218399      0.1006788      0.0840739      0.1218964      1.6543822      0.1767818      2.1864433
     14.9871655      2.3524344      0.4599748      0.1798970      0.1416282      0.1152894      0.0953219      0.0801960      0.1153880      1.6722243      0.1774955      2.1961012
     15.0704222      2.3759129      0.4591316      0.1696466      0.1289421      0.1031143      0.0853048      0.0729080      0.1031932      1.6889424      0.1631822      2.2013280
     15.1536789      2.4014540      0.4607007      0.1648152      0.1231534      0.0980377      0.0814940      0.0704021      0.0980951      1.7071109      0.1521590      2.2074301
     15.2369366      2.4284410      0.4639251      0.1639626      0.1220977      0.0972521      0.0810242      0.0702356      0.0973074      1.7263917      0.1526089      2.2167349
     15.3201933      2.4559619      0.4676156      0.1642174      0.1221337      0.0972880      0.0811082      0.0703964      0.0973436      1.7461542      0.1535069      2.2266827
     15.4034500      2.4838459      0.4715389      0.1649247      0.1225721      0.0976260      0.0814018      0.0706827      0.0976819      1.7662628      0.1545293      2.2368958
     15.4867077      2.5120451      0.4756203      0.1658962      0.1232738      0.0982408      0.0820021      0.0712490      0.0982960      1.7866740      0.1556307      2.2473898
     15.5699644      2.5405364      0.4798255      0.1670429      0.1241371      0.0990112      0.0827679      0.0719607      0.0990672      1.8073652      0.1567838      2.2581773
     15.6532211      2.5693083      0.4841415      0.1683224      0.1250674      0.0997483      0.0833855      0.0724814      0.0998050      1.8283370      0.1579654      2.2691381
